TRA	MTCP1
TRA	MYC
TRA	OLIG2
TRA	PVRL2
TRA	TRB
TRB	HOXA10
TRB	HOXA11
TRB	LMO1
TRB	LMO2
TRB	NOTCH1
TRB	TLX1
TRD	LMO1
TRD	LMO2
TRD	PVT1
TRD	TLX1
TRIM24	RET
TRIM27	RET
TRIM33	RET
UAP1	TSHZ2
UBE2L3	KRAS
USP16	RUNX1
VCL	ALK
VTI1A	TCF7L2
WDR18	H2AFX
WWTR1	CAMTA1
YWHAE	FAM22A
YWHAE	NUTM2B
ZBTB16	RARA
ZC3H7B	BCOR
ZCCHC7	SERINC3
ZCCHC8	ROS1
ZFP36L1	IGHA2
ZMYM2	FGFR1
ZNF700	MAST1
ZSCAN30	BRAF
